title,score,budget,revenue,profit,main_genre,language,is_english,country,cluster
Creed III,73.0,75000000.0,271616668.0,196616668.0,Drama,English,1,AU,3
Avatar: The Way of Water,78.0,460000000.0,2316794914.0,1856794914.0,Science Fiction,English,1,AU,0
The Super Mario Bros. Movie,76.0,100000000.0,724459031.0,624459031.0,Animation,English,1,AU,0
Mummies,70.0,12300000.0,34200000.0,21900000.0,Animation,"Spanish, Castilian",0,AU,0
Supercell,61.0,77000000.0,340941958.6,263941958.60000002,Action,English,1,US,3
Cocaine Bear,66.0,35000000.0,80000000.0,45000000.0,Thriller,English,1,AU,1
John Wick: Chapter 4,80.0,100000000.0,351349364.0,251349364.0,Action,English,1,AU,1
Puss in Boots: The Last Wish,83.0,90000000.0,483480577.0,393480577.0,Animation,English,1,AU,0
Attack on Titan,59.0,71000000.0,254946484.2,183946484.2,Action,English,1,US,1
The Park,58.0,119200000.0,488962491.0,369762491.0,Action,English,1,US,1
Winnie the Pooh: Blood and Honey,58.0,100000.0,3200000.0,3100000.0,Horror,English,1,AU,1
The Exorcist,55.0,12000000.0,428214478.0,416214478.0,Horror,"Spanish, Castilian",0,MX,1
Murder Mystery 2,65.0,43800000.0,489543087.4,445743087.4,Comedy,English,1,AU,1
Black Panther: Wakanda Forever,73.0,250000000.0,854041058.0,604041058.0,Action,English,1,AU,0
The Pope's Exorcist,72.0,92000000.0,462216471.8,370216471.8,Horror,English,1,AU,1
Prizefighter: The Life of Jem Belcher,62.0,77600000.0,562112551.0,484512551.0,Drama,English,1,GB,3
Knock at the Cabin,64.0,20000000.0,54629497.0,34629497.0,Thriller,English,1,AU,1
The Devil Conspiracy,65.0,54060000.0,492646395.4,438586395.4,Horror,English,1,US,1
Cazadora,57.0,110400000.0,318117812.6,207717812.60000002,Thriller,"Spanish, Castilian",0,Other,1
Gold Run,65.0,123500000.0,420430064.8,296930064.8,War,Other,0,Other,2
The Magician's Elephant,73.0,82600000.0,473097256.6,390497256.6,Animation,English,1,AU,0
Plane,69.0,25000000.0,51000000.0,26000000.0,Action,English,1,GB,1
The Passion of the Christ,74.0,25000000.0,622313635.0,597313635.0,Drama,English,1,AU,3
Batman: The Doom That Came to Gotham,64.0,145760000.0,321934831.2,176174831.2,Animation,English,1,US,0
