feature,coefficient,absolute_coefficient
categorical__country_KR,-7.050591679369474,7.050591679369474
categorical__country_AU,6.355740537637972,6.355740537637972
categorical__country_HK,-5.888996740221304,5.888996740221304
categorical__country_MX,5.41055234327729,5.41055234327729
categorical__main_genre_Horror,-5.0124391278550275,5.0124391278550275
categorical__country_DE,-4.958167451254688,4.958167451254688
categorical__main_genre_Music,4.492394674719954,4.492394674719954
categorical__country_GB,4.061065412699215,4.061065412699215
categorical__main_genre_Western,3.8461647025716474,3.8461647025716474
categorical__main_genre_Other,-3.7539564913258068,3.7539564913258068
categorical__main_genre_Documentary,3.6073356445512084,3.6073356445512084
categorical__main_genre_War,3.5868732164853068,3.5868732164853068
categorical__language_English,-3.343268259395921,3.343268259395921
categorical__main_genre_Animation,3.157193995425071,3.157193995425071
categorical__country_IT,-3.13436420815734,3.13436420815734
categorical__main_genre_Thriller,-3.110165130319398,3.110165130319398
categorical__language_Korean,2.956743549503639,2.956743549503639
categorical__main_genre_Romance,-2.729561737055831,2.729561737055831
categorical__main_genre_Science Fiction,-2.643778909516435,2.643778909516435
categorical__language_Italian,-2.448533304594617,2.448533304594617
